actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2023-07-30 11:48:33
2,NICK,WAHLBERG,2023-07-30 11:48:33
3,ED,CHASE,2023-07-30 11:48:33
4,JENNIFER,DAVIS,2023-07-30 11:48:33
5,JOHNNY,LOLLOBRIGIDA,2023-07-30 11:48:33
6,BETTE,NICHOLSON,2023-07-30 11:48:33
7,GRACE,MOSTEL,2023-07-30 11:48:33
8,MATTHEW,JOHANSSON,2023-07-30 11:48:33
9,JOE,SWANK,2023-07-30 11:48:33
10,CHRISTIAN,GABLE,2023-07-30 11:48:33
11,ZERO,CAGE,2023-07-30 11:48:33
12,KARL,BERRY,2023-07-30 11:48:33
13,UMA,WOOD,2023-07-30 11:48:33
14,VIVIEN,BERGEN,2023-07-30 11:48:33
15,CUBA,OLIVIER,2023-07-30 11:48:33
16,FRED,COSTNER,2023-07-30 11:48:33
17,HELEN,VOIGHT,2023-07-30 11:48:33
18,DAN,TORN,2023-07-30 11:48:33
19,BOB,FAWCETT,2023-07-30 11:48:33
20,LUCILLE,TRACY,2023-07-30 11:48:33
21,KIRSTEN,PALTROW,2023-07-30 11:48:33
22,ELVIS,MARX,2023-07-30 11:48:33
23,SANDRA,KILMER,2023-07-30 11:48:33
24,CAMERON,STREEP,2023-07-30 11:48:33
25,KEVIN,BLOOM,2023-07-30 11:48:33
26,RIP,CRAWFORD,2023-07-30 11:48:33
27,JULIA,MCQUEEN,2023-07-30 11:48:33
28,WOODY,HOFFMAN,2023-07-30 11:48:33
29,ALEC,WAYNE,2023-07-30 11:48:33
30,SANDRA,PECK,2023-07-30 11:48:33
31,SISSY,SOBIESKI,2023-07-30 11:48:33
32,TIM,HACKMAN,2023-07-30 11:48:33
33,MILLA,PECK,2023-07-30 11:48:33
34,AUDREY,OLIVIER,2023-07-30 11:48:33
35,JUDY,DEAN,2023-07-30 11:48:33
36,BURT,DUKAKIS,2023-07-30 11:48:33
37,VAL,BOLGER,2023-07-30 11:48:33
38,TOM,MCKELLEN,2023-07-30 11:48:33
39,GOLDIE,BRODY,2023-07-30 11:48:33
40,JOHNNY,CAGE,2023-07-30 11:48:33
41,JODIE,DEGENERES,2023-07-30 11:48:33
42,TOM,MIRANDA,2023-07-30 11:48:33
43,KIRK,JOVOVICH,2023-07-30 11:48:33
44,NICK,STALLONE,2023-07-30 11:48:33
45,REESE,KILMER,2023-07-30 11:48:33
46,PARKER,GOLDBERG,2023-07-30 11:48:33
47,JULIA,BARRYMORE,2023-07-30 11:48:33
48,FRANCES,DAY-LEWIS,2023-07-30 11:48:33
49,ANNE,CRONYN,2023-07-30 11:48:33
50,NATALIE,HOPKINS,2023-07-30 11:48:33
51,GARY,PHOENIX,2023-07-30 11:48:33
52,CARMEN,HUNT,2023-07-30 11:48:33
53,MENA,TEMPLE,2023-07-30 11:48:33
54,PENELOPE,PINKETT,2023-07-30 11:48:33
55,FAY,KILMER,2023-07-30 11:48:33
56,DAN,HARRIS,2023-07-30 11:48:33
57,JUDE,CRUISE,2023-07-30 11:48:33
58,CHRISTIAN,AKROYD,2023-07-30 11:48:33
59,DUSTIN,TAUTOU,2023-07-30 11:48:33
60,HENRY,BERRY,2023-07-30 11:48:33
61,CHRISTIAN,NEESON,2023-07-30 11:48:33
62,JAYNE,NEESON,2023-07-30 11:48:33
63,CAMERON,WRAY,2023-07-30 11:48:33
64,RAY,JOHANSSON,2023-07-30 11:48:33
65,ANGELA,HUDSON,2023-07-30 11:48:33
66,MARY,TANDY,2023-07-30 11:48:33
67,JESSICA,BAILEY,2023-07-30 11:48:33
68,RIP,WINSLET,2023-07-30 11:48:33
69,KENNETH,PALTROW,2023-07-30 11:48:33
70,MICHELLE,MCCONAUGHEY,2023-07-30 11:48:33
71,ADAM,GRANT,2023-07-30 11:48:33
72,SEAN,WILLIAMS,2023-07-30 11:48:33
73,GARY,PENN,2023-07-30 11:48:33
74,MILLA,KEITEL,2023-07-30 11:48:33
75,BURT,POSEY,2023-07-30 11:48:33
76,ANGELINA,ASTAIRE,2023-07-30 11:48:33
77,CARY,MCCONAUGHEY,2023-07-30 11:48:33
78,GROUCHO,SINATRA,2023-07-30 11:48:33
79,MAE,HOFFMAN,2023-07-30 11:48:33
80,RALPH,CRUZ,2023-07-30 11:48:33
81,SCARLETT,DAMON,2023-07-30 11:48:33
82,WOODY,JOLIE,2023-07-30 11:48:33
83,BEN,WILLIS,2023-07-30 11:48:33
84,JAMES,PITT,2023-07-30 11:48:33
85,MINNIE,ZELLWEGER,2023-07-30 11:48:33
86,GREG,CHAPLIN,2023-07-30 11:48:33
87,SPENCER,PECK,2023-07-30 11:48:33
88,KENNETH,PESCI,2023-07-30 11:48:33
89,CHARLIZE,DENCH,2023-07-30 11:48:33
90,SEAN,GUINESS,2023-07-30 11:48:33
91,CHRISTOPHER,BERRY,2023-07-30 11:48:33
92,KIRSTEN,AKROYD,2023-07-30 11:48:33
93,ELLEN,PRESLEY,2023-07-30 11:48:33
94,KENNETH,TORN,2023-07-30 11:48:33
95,DARYL,WAHLBERG,2023-07-30 11:48:33
96,GENE,WILLIS,2023-07-30 11:48:33
97,MEG,HAWKE,2023-07-30 11:48:33
98,CHRIS,BRIDGES,2023-07-30 11:48:33
99,JIM,MOSTEL,2023-07-30 11:48:33
100,SPENCER,DEPP,2023-07-30 11:48:33
101,SUSAN,DAVIS,2023-07-30 11:48:33
102,WALTER,TORN,2023-07-30 11:48:33
103,MATTHEW,LEIGH,2023-07-30 11:48:33
104,PENELOPE,CRONYN,2023-07-30 11:48:33
105,SIDNEY,CROWE,2023-07-30 11:48:33
106,GROUCHO,DUNST,2023-07-30 11:48:33
107,GINA,DEGENERES,2023-07-30 11:48:33
108,WARREN,NOLTE,2023-07-30 11:48:33
109,SYLVESTER,DERN,2023-07-30 11:48:33
110,SUSAN,DAVIS,2023-07-30 11:48:33
111,CAMERON,ZELLWEGER,2023-07-30 11:48:33
112,RUSSELL,BACALL,2023-07-30 11:48:33
113,MORGAN,HOPKINS,2023-07-30 11:48:33
114,MORGAN,MCDORMAND,2023-07-30 11:48:33
115,HARRISON,BALE,2023-07-30 11:48:33
116,DAN,STREEP,2023-07-30 11:48:33
117,RENEE,TRACY,2023-07-30 11:48:33
118,CUBA,ALLEN,2023-07-30 11:48:33
119,WARREN,JACKMAN,2023-07-30 11:48:33
120,PENELOPE,MONROE,2023-07-30 11:48:33
121,LIZA,BERGMAN,2023-07-30 11:48:33
122,SALMA,NOLTE,2023-07-30 11:48:33
123,JULIANNE,DENCH,2023-07-30 11:48:33
124,SCARLETT,BENING,2023-07-30 11:48:33
125,ALBERT,NOLTE,2023-07-30 11:48:33
126,FRANCES,TOMEI,2023-07-30 11:48:33
127,KEVIN,GARLAND,2023-07-30 11:48:33
128,CATE,MCQUEEN,2023-07-30 11:48:33
129,DARYL,CRAWFORD,2023-07-30 11:48:33
130,GRETA,KEITEL,2023-07-30 11:48:33
131,JANE,JACKMAN,2023-07-30 11:48:33
132,ADAM,HOPPER,2023-07-30 11:48:33
133,RICHARD,PENN,2023-07-30 11:48:33
134,GENE,HOPKINS,2023-07-30 11:48:33
135,RITA,REYNOLDS,2023-07-30 11:48:33
136,ED,MANSFIELD,2023-07-30 11:48:33
137,MORGAN,WILLIAMS,2023-07-30 11:48:33
138,LUCILLE,DEE,2023-07-30 11:48:33
139,EWAN,GOODING,2023-07-30 11:48:33
140,WHOOPI,HURT,2023-07-30 11:48:33
141,CATE,HARRIS,2023-07-30 11:48:33
142,JADA,RYDER,2023-07-30 11:48:33
143,RIVER,DEAN,2023-07-30 11:48:33
144,ANGELA,WITHERSPOON,2023-07-30 11:48:33
145,KIM,ALLEN,2023-07-30 11:48:33
146,ALBERT,JOHANSSON,2023-07-30 11:48:33
147,FAY,WINSLET,2023-07-30 11:48:33
148,EMILY,DEE,2023-07-30 11:48:33
149,RUSSELL,TEMPLE,2023-07-30 11:48:33
150,JAYNE,NOLTE,2023-07-30 11:48:33
151,GEOFFREY,HESTON,2023-07-30 11:48:33
152,BEN,HARRIS,2023-07-30 11:48:33
153,MINNIE,KILMER,2023-07-30 11:48:33
154,MERYL,GIBSON,2023-07-30 11:48:33
155,IAN,TANDY,2023-07-30 11:48:33
156,FAY,WOOD,2023-07-30 11:48:33
157,GRETA,MALDEN,2023-07-30 11:48:33
158,VIVIEN,BASINGER,2023-07-30 11:48:33
159,LAURA,BRODY,2023-07-30 11:48:33
160,CHRIS,DEPP,2023-07-30 11:48:33
161,HARVEY,HOPE,2023-07-30 11:48:33
162,OPRAH,KILMER,2023-07-30 11:48:33
163,CHRISTOPHER,WEST,2023-07-30 11:48:33
164,HUMPHREY,WILLIS,2023-07-30 11:48:33
165,AL,GARLAND,2023-07-30 11:48:33
166,NICK,DEGENERES,2023-07-30 11:48:33
167,LAURENCE,BULLOCK,2023-07-30 11:48:33
168,WILL,WILSON,2023-07-30 11:48:33
169,KENNETH,HOFFMAN,2023-07-30 11:48:33
170,MENA,HOPPER,2023-07-30 11:48:33
171,OLYMPIA,PFEIFFER,2023-07-30 11:48:33
172,GROUCHO,WILLIAMS,2023-07-30 11:48:33
173,ALAN,DREYFUSS,2023-07-30 11:48:33
174,MICHAEL,BENING,2023-07-30 11:48:33
175,WILLIAM,HACKMAN,2023-07-30 11:48:33
176,JON,CHASE,2023-07-30 11:48:33
177,GENE,MCKELLEN,2023-07-30 11:48:33
178,LISA,MONROE,2023-07-30 11:48:33
179,ED,GUINESS,2023-07-30 11:48:33
180,JEFF,SILVERSTONE,2023-07-30 11:48:33
181,MATTHEW,CARREY,2023-07-30 11:48:33
182,DEBBIE,AKROYD,2023-07-30 11:48:33
183,RUSSELL,CLOSE,2023-07-30 11:48:33
184,HUMPHREY,GARLAND,2023-07-30 11:48:33
185,MICHAEL,BOLGER,2023-07-30 11:48:33
186,JULIA,ZELLWEGER,2023-07-30 11:48:33
187,RENEE,BALL,2023-07-30 11:48:33
188,ROCK,DUKAKIS,2023-07-30 11:48:33
189,CUBA,BIRCH,2023-07-30 11:48:33
190,AUDREY,BAILEY,2023-07-30 11:48:33
191,GREGORY,GOODING,2023-07-30 11:48:33
192,JOHN,SUVARI,2023-07-30 11:48:33
193,BURT,TEMPLE,2023-07-30 11:48:33
194,MERYL,ALLEN,2023-07-30 11:48:33
195,JAYNE,SILVERSTONE,2023-07-30 11:48:33
196,BELA,WALKEN,2023-07-30 11:48:33
197,REESE,WEST,2023-07-30 11:48:33
198,MARY,KEITEL,2023-07-30 11:48:33
199,JULIA,FAWCETT,2023-07-30 11:48:33
200,THORA,TEMPLE,2023-07-30 11:48:33
